year,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,yield
2009,47.9,51,54.8,59.6,69.5,71.1,76.2,75.5,75.2,62.2,53.6,45.7,1.49,3.52,1.4,0.54,0.55,0.14,0,0,0.19,1.66,0.3,1.91,1960
2010,48,52.2,54.1,55.9,61.9,72.6,74.9,72.6,72.6,64.8,52.7,50.3,3.38,2.61,1.64,2.46,0.56,0.01,0,0,0,1.27,2.45,4.58,2220
2011,46,48.5,53.8,58.6,61.7,69.3,74.7,74.9,74.8,64.6,52,45.9,1.02,2.79,4.04,0.2,0.86,0.61,0,0,0.01,1.01,0.91,0.16,2030
2012,48.4,51.6,53.2,60.3,67.5,71.4,74.9,77,73.3,65.2,56,47.5,1.69,0.67,2.84,2.28,0.05,0.08,0.01,0,0.01,0.43,2.9,4.72,1890
2013,45,49.7,57.4,63.9,68.6,73.9,77.3,74.7,71.3,62.8,55.5,46,1.2,0.27,0.9,0.57,0.06,0.12,0,0,0.44,0.01,1.11,0.38,2010
2014,51.7,53.7,58.8,62,69,73.7,78.1,75.7,73.7,68,56.4,52.7,0.21,2.97,1.89,1.13,0.01,0.01,0,0,0.42,0.41,1.18,6.17,1870
2015,49.6,56.1,61.6,62,64.4,75.8,77.1,76.2,74.5,69.8,51.9,47.3,0.01,1.68,0.25,1.04,0.15,0.1,0.01,0.04,0.01,0.22,1.96,2.22,1900
2016,50,55.6,57.4,62.9,67.2,75.2,77,75.2,72.1,63.9,56.5,46.6,4.86,0.68,3.75,2.15,0.29,0,0,0,0,2.86,1.43,2.31,2140
2017,47.2,53,57.9,59.9,68.5,75.4,79.7,78.6,74.2,65.1,56.6,48.8,7.4,5.52,2.01,2.15,0.08,0.06,0,0.02,0.01,0.14,1.58,0.11,2270
2018,51.8,52.9,54.8,61.1,66.6,74.2,79.8,75.2,71.8,66.1,55.8,49.7,3.12,0.62,3.01,2.13,0.15,0,0,0,0,0.59,2.51,2.22,2280
2019,51.4,48.4,54.8,63.6,63.5,75.4,77.4,78.5,72.7,63.7,56.6,51.1,2.73,5.05,2.9,0.59,2.15,0,0,0,0.22,0,0.71,3.25,2560
2020,49.7,54.8,54.6,62.1,69.3,75,77.2,80.5,76.4,69.7,54.4,50,1.05,0,2,1.17,0.47,0,0,0.01,0,0,0.26,1.64,3115
2021,50.3,53.4,53.7,62.8,69.1,75.3,79.8,77.6,74.7,62.7,56.5,46,3.06,0.92,0.98,0.07,0,0,0,0,0.02,3.96,0.56,4.65,2915
